ID,Stratum,Long,Lat,zone,x,y,pixel,line,centxUTM,centyUTM,MGRS
183,1,122.636518556461,-33.8750185611374,51,466384.110535957,-3748357.85795271,8880,401613,466395,-3748365,51HVC
184,4,-49.372423120117,-13.6824617779348,22,676023.11259023,-1513200.10510165,15868,360440,676035,-1513215,22LFK
185,3,-64.3862527430402,-24.1871239538273,20,359198.180610518,-2675641.99302385,5307,395856,359205,-2675655,20KLU
186,1,75.6367348422711,18.4183328939621,43,567246.805146633,2036587.33604588,12242,232113,567255,2036595,43QEA
187,2,130.909383352447,-22.7230825737255,52,696099.040150292,-2514128.10142831,16537,357138,696105,-2514135,52KFV
188,6,74.8649005612582,53.6097747501198,43,491061.682331462,5940114.91620953,9702,101996,491055,5940105,43UDV
189,5,35.2348015065972,40.5158501408582,36,689326.357241106,4487413.49392898,16311,113753,689325,4487415,36TXK
190,3,92.290086122266,53.8132835688515,46,453257.840782421,5962981.54762941,8442,104567,453255,5962995,46UDE
191,2,102.442238666338,37.9890853487205,48,275383.857862835,4207691.09506159,2513,156411,275385,4207695,48STH
192,2,38.3215381429024,45.2158881672282,37,446728.024736439,5007157.16497808,8224,133094,446715,5007165,37TDL
193,3,-36.520480403816,-8.36551020143222,24,773074.340601584,-925565.984404055,19103,340852,773085,-925575,24LYR
194,6,73.3433177248864,31.2164997888026,43,342191.259179201,3454778.58915968,4740,184840,342195,3454785,43RCQ
195,1,48.1175821270786,25.8790685135323,39,211163.695951401,2865464.45346525,372,207818,211155,2865465,39RTJ
196,6,63.772043954431,30.5481845744719,41,574050.292977154,3379784.7686552,12469,190674,574065,3379785,41RNP
197,1,84.2095412000691,46.0332108086776,44,748368.928005258,5102746.88906301,18279,129908,748365,5102745,44TQS
198,4,-104.908527161271,47.2507195426236,13,506921.676663156,5233030.3336776,10231,125565,506925,5233035,13TEN
199,4,22.7212952160322,-7.8161487632932,34,689797.024973649,-864360.706517868,16327,295480,689805,-864375,34MFS
200,4,9.97067650064039,11.2886328362275,32,605940.638437738,1248069.68531904,13532,211731,605955,1248075,32PPT
201,6,-56.4186161364096,-28.3046535622979,21,557002.096580333,-3131088.28725996,11900,414369,556995,-3131085,21JWJ
202,1,14.9538463913638,7.97960712886143,33,494913.656876182,882043.673235805,9831,270598,494925,882045,33NVJ
203,6,116.322604710124,41.2641158458055,50,443257.865600986,4568298.32911063,8109,131057,443265,4568295,50TML
204,2,-59.7600183442357,-16.9467047828995,21,206036.786167271,-1875724.19783965,201,372524,206025,-1875735,21KTB
205,6,-59.1094071226507,-37.7363920943919,21,314128.084369176,-4178662.45164102,3804,449288,314115,-4178655,21HUU
206,1,-72.1505800674151,-5.57700271102155,18,815706.788118928,-617209.277606694,20524,330573,815715,-617205,18MZU
207,5,-154.828082033793,60.04527449707,05,398181.832582268,6657860.83781538,6606,44739,398175,6657855,05VLG
208,2,34.2172960987148,13.7415188904734,36,631611.196214023,1519472.0243594,14387,212684,631605,1519485,36PXA
209,4,-58.7553185891538,-14.5657599449577,21,310888.691464259,-1611026.71224706,3696,363700,310875,-1611015,21LUD
210,2,27.767549064222,26.4415165066318,35,576526.498441656,2924808.75363355,12551,202506,576525,2924805,35RNK
211,3,131.249387008582,-16.8452866504896,52,739679.195450278,-1863803.90428474,17989,335460,739665,-1863795,52KGG
212,6,8.03921864396372,48.3152306160357,32,428768.116967912,5351783.80883825,7626,74941,428775,5351775,32UMU
213,6,-52.4662076911316,-12.1674355945086,22,340473.177875477,-1345498.72953955,4683,354849,340485,-1345485,22LCM
214,3,-104.714252720792,43.6857731461663,13,523030.10125892,4837012.98567418,10768,138766,523035,4837005,13TEJ
215,1,-126.592673542206,62.3825685033712,09,624484.45339786,6919117.52665453,10816,39362,624495,6919125,09VXK
216,2,-105.432419815071,51.8278299232026,13,470200.461056103,5741977.65296023,9007,108600,470205,5741985,13UDT
217,3,-64.8341612400613,-28.934190781374,20,321223.421150963,-3202079.26989716,4041,413403,321225,-3202065,20JLP
218,5,122.109589595726,71.6622672190264,51,468734.13273678,7951492.52195459,8958,11618,468735,7951485,51WVV
219,4,128.869027788039,-18.5805095012655,52,486181.004224022,-2054417.83100984,9540,341814,486195,-2054415,52KDE
220,5,-79.8209164622995,43.7697543645907,17,594897.07628516,4846975.99444539,13163,148434,594885,4846965,17TNJ
221,5,87.4907768137948,61.3431214916595,45,526257.098542276,6801105.43688617,10875,76630,526245,6801105,45VWJ
222,4,9.5334632017736,35.847263508238,32,548172.530416182,3967139.29451287,11606,121096,548175,3967125,32SNE
223,3,140.80256272138,-33.4381935099248,54,481647.927823789,-3699884.25342207,9388,406663,481635,-3699885,54HVJ
224,6,-3.86236620245384,57.8016759294455,30,448745.529713577,6406956.88110585,8292,19768,448755,6406965,30VVK
